n,method,runtime_seconds,transport_cost,objective_gap_vs_simplex,marginal_violation,iterations
50,simplex,0.008671791998494882,12.610275092106297,0.0,0.0,602
50,ipm,0.008775166999839712,12.610275092106297,0.0,0.0,14
50,pdlp,0.018044333999569062,12.610275092106235,-6.217248937900877e-14,1.2954914918594795e-14,1280
100,simplex,0.07504862500354648,10.82065799892006,0.0,0.0,2235
100,ipm,0.04157904200110352,10.82065799892006,0.0,0.0,18
100,pdlp,0.13548849999642698,10.820657998920092,3.197442310920451e-14,1.206673649889467e-14,2496
200,simplex,0.6410238749958808,11.010308713619661,0.0,0.0,7462
200,ipm,0.21721112500381423,11.010308713619661,0.0,0.0,19
200,pdlp,0.576571707999392,11.010308713620166,5.044853423896711e-13,2.6843111067265113e-13,2624
500,simplex,17.49442000000272,10.389507643864484,0.0,0.0,39972
500,ipm,2.0248167909958283,10.389507643864484,0.0,0.0,22
500,pdlp,4.963053125000442,10.389507989560876,3.45696392400896e-07,8.190373710845189e-09,3328
