n,seed,lambda,method,success,status,runtime_seconds,objective_value,transport_cost,marginal_violation,iterations
200,1200,1.0,sinkhorn,True,converged,0.0154313330003788,2.091885694950994,11.796798150027712,8.219134192289507e-07,30
200,1200,1.0,sinkhorn_numpy,True,converged,0.018752333999145776,2.0918902065086655,11.796802644956909,1.2495066598582072e-08,40
200,1200,1.0,ipm,True,optimal,1.4146337089987355,2.0918903228892773,11.796802693365766,6.894972509607911e-10,49
200,1200,0.1,sinkhorn,True,converged,0.17835575000026438,10.296815311054774,11.078888514778498,4.104815608868204e-06,360
200,1200,0.1,sinkhorn_numpy,True,converged,0.21128116700128885,10.296831023817052,11.078903992515926,9.757034129358189e-07,420
200,1200,0.1,ipm,True,optimal,1.2627306670001417,10.296837796725068,11.078911179098244,4.3509232727084735e-09,42
200,1200,0.01,sinkhorn,True,converged,10.949354874999699,10.950551510715062,11.01361284616648,4.5876529363598345e-06,20730
200,1200,0.01,sinkhorn_numpy,False,max_iterations,26.120622500000536,10.950567620330997,11.013628767998433,1.7910161705493935e-06,50000
200,1200,0.01,ipm,True,optimal,1.1051684160011064,10.950578734350021,11.013639840018065,1.8006172304921297e-08,35
