n,seed,lambda,method,success,status,runtime_seconds,objective_value,transport_cost,transport_gap_vs_wlp,marginal_violation,iterations
200,1200,10.0,sinkhorn,True,converged,0.005111374999614782,-91.60944564412583,14.013531593115452,3.003222879495791,1.2342557531574982e-15,10
200,1200,6.1054022965853285,sinkhorn,True,converged,0.005095417000120506,-50.551097569298804,13.624895950836528,2.614587237216867,7.082240176259358e-12,10
200,1200,3.72759372031494,sinkhorn,True,converged,0.005109874999106978,-25.66128867268656,13.115770242859355,2.105461529239694,2.67226060637199e-08,10
200,1200,2.2758459260747887,sinkhorn,True,converged,0.01004645899956813,-10.676647191723326,12.559579900335812,1.549271186716151,4.338798964206858e-10,20
200,1200,1.3894954943731377,sinkhorn,True,converged,0.010384625000369851,-1.7351665758154446,12.062374217809012,1.0520655041893505,1.8814361402719193e-06,20
200,1200,0.8483428982440722,sinkhorn,True,converged,0.015363374999651569,3.554810881832328,11.685336643166353,0.6750279295466921,7.4206330392774175e-06,30
200,1200,0.5179474679231213,sinkhorn,True,converged,0.02389670799857413,6.6635805629200275,11.42760517053282,0.4172964569131583,7.470012267605207e-06,50
200,1200,0.31622776601683794,sinkhorn,True,converged,0.04303191600047285,8.481482973042544,11.261156732801837,0.25084801918217536,2.9003113165707375e-06,90
200,1200,0.19306977288832505,sinkhorn,True,converged,0.06612795900036872,9.540516733020322,11.157177169209762,0.1468684555901003,7.85664732659043e-06,140
200,1200,0.11787686347935879,sinkhorn,True,converged,0.1263669169984496,10.155751510823876,11.093720318748467,0.08341160512880563,4.881958291203317e-06,270
200,1200,0.07196856730011521,sinkhorn,True,converged,0.3497703749999346,10.512496449626568,11.056219313665697,0.0459106000460352,3.7865238232985196e-06,750
200,1200,0.043939705607607904,sinkhorn,True,converged,1.868560916000206,10.719357064338924,11.0348357821402,0.02452706852053943,3.936104195430452e-06,3870
200,1200,0.026826957952797274,sinkhorn,True,converged,7.743356375000076,10.839496160246615,11.022993689320463,0.01268497570080207,3.7670591371830042e-06,15930
200,1200,0.016378937069540647,sinkhorn,True,converged,8.78153787500014,10.909518762018678,11.016781034623191,0.006472321003530013,4.1603135041805295e-06,17220
200,1200,0.01,sinkhorn,True,converged,10.809503209000468,10.950551510715062,11.01361284616648,0.0033041325468179394,4.5876529363598345e-06,20730
