n,seed,method,success,status,transport_cost,marginal_violation,runtime_seconds,iterations
50,1200,ipm,True,optimal,10.988361136907677,0.0,0.009083332999580307,14
50,1201,ipm,True,optimal,12.618249283538598,0.0,0.009420458998647518,16
50,1202,ipm,True,optimal,9.602546091172716,0.0,0.012150250000559026,15
50,1203,ipm,True,optimal,10.322318512492444,0.0,0.011055041999497917,17
50,1204,ipm,True,optimal,13.788376583565318,0.0,0.009773458001291147,15
50,1205,ipm,True,optimal,12.117922141200939,0.0,0.009543625001242617,16
50,1206,ipm,True,optimal,11.608930216763191,0.0,0.008767916002398124,15
50,1207,ipm,True,optimal,12.09874580272203,0.0,0.008580790999985766,13
50,1208,ipm,True,optimal,8.772396139727874,0.0,0.008622792000096524,14
50,1209,ipm,True,optimal,10.572176620267847,0.0,0.00910295900030178,14
100,1200,ipm,True,optimal,10.41355219709178,0.0,0.04117041599965887,17
100,1201,ipm,True,optimal,10.329961795589075,0.0,0.045446000000083586,20
100,1202,ipm,True,optimal,10.194091718064175,0.0,0.04268279199823155,17
100,1203,ipm,True,optimal,8.601030756598032,0.0,0.04281925000032061,19
100,1204,ipm,True,optimal,11.041027060775853,0.0,0.040610583000670886,16
100,1205,ipm,True,optimal,10.500456420822672,0.0,0.040646000001288485,16
100,1206,ipm,True,optimal,10.341713582343193,0.0,0.041886250000970904,17
100,1207,ipm,True,optimal,11.776774577961863,0.0,0.04256937500031199,18
100,1208,ipm,True,optimal,9.345214861869476,0.0,0.04054175000055693,17
100,1209,ipm,True,optimal,9.031705446498286,0.0,0.04192504199818359,17
200,1200,ipm,True,optimal,11.010308713619661,0.0,0.22441170800084365,19
200,1201,ipm,True,optimal,9.246419558403925,0.0,0.2180656660020759,19
200,1202,ipm,True,optimal,9.7922767260036,0.0,0.2116295829982846,19
200,1203,ipm,True,optimal,9.75716857375035,0.0,0.22510549999788054,19
200,1204,ipm,True,optimal,9.833719025284775,0.0,0.20724579200032167,19
200,1205,ipm,True,optimal,10.53331770126668,0.0,0.2148300000008021,19
200,1206,ipm,True,optimal,9.980209249445188,0.0,0.20793733299797168,18
200,1207,ipm,True,optimal,11.437330266669486,0.0,0.2223613749993092,19
200,1208,ipm,True,optimal,10.329666326115191,0.0,0.2051707089995034,18
200,1209,ipm,True,optimal,10.54755110396036,0.0,0.21263366599669098,19
500,1200,ipm,True,optimal,10.763682181207741,0.0,1.7327265410021937,20
500,1201,ipm,True,optimal,9.871077081923481,0.0,1.8065357089981262,20
500,1202,ipm,True,optimal,10.418769458484496,0.0,1.8446650410005532,21
500,1203,ipm,True,optimal,10.495684514461587,0.0,1.8213162909996754,21
500,1204,ipm,True,optimal,9.982298093772998,0.0,1.8085033749994182,21
500,1205,ipm,True,optimal,10.696023744634543,0.0,1.974226833001012,21
500,1206,ipm,True,optimal,10.25772596791917,0.0,1.953402625000308,21
500,1207,ipm,True,optimal,10.427243168539766,0.0,1.7481310420007503,21
500,1208,ipm,True,optimal,10.298114009960619,0.0,2.1014369590011484,21
500,1209,ipm,True,optimal,9.922184954386724,0.0,1.9535193749979953,21
